Time (ns)
Size, 50, 500, 1000, 2000, 5000, 10000
Insertion Sort,12100,708120,471880,763800,1796560,5891600
Heap Sort,58960,87540,155180,219940,534360,674540
Merge Sort,15900,166980,149340,301760,639840,5075260
Quick Sort (No Cutoff),11880,97580,79820,169760,425800,795540
Quick Sort (With Cutoff = 10),31880,106680,130280,181840,420300,733540
Quick Sort (With Cutoff = 50),920,17660,59100,127040,395240,1391880
Quick Sort (With Cutoff = 100),1200,45160,109860,240440,691120,1079060

Memory
Size, 50, 500, 1000, 2000, 5000, 10000
Insertion Sort,2057360,2057360,2057360,2057360,2057360,2217424
Heap Sort,2217424,2217424,2257216,2768544,2768544,2768544
Merge Sort,2768544,2768544,2768544,2768544,2948688,3385824
Quick Sort (No Cutoff),3385824,3385824,3893152,3893152,3893152,3893152
Quick Sort (With Cutoff = 10),3893152,3893152,3893152,3893152,3933184,4133264
Quick Sort (With Cutoff = 50),4133264,4194304,4194304,4713648,4713648,4713648
Quick Sort (With Cutoff = 100),4713648,4713648,4713648,4713648,4713648,4913728
